,page,txtbox,textline,font,szie,x1,y1,x2,y2,char,xspace,yspace,concat,words,wx1,wb
171,1,6,7,XPCBJJ+CMR10,9.963,421.746,563.0169999999999,424.514,572.98,.,-290.746,-28.273999999999887,False,section.,391.80300000000005,True
174,1,7,8,SXMFFW+CMBX12,11.967,144.22899999999998,534.743,150.954,546.71,1,13.448999999999984,0.0,False,2.1,133.768,True
176,1,7,8,SXMFFW+CMBX12,11.967,174.919,534.743,181.644,546.71,3,-47.876000000000005,-18.00400000000002,False,H3,164.403,True
181,1,8,9,XPCBJJ+CMR10,9.963,153.135,516.739,157.065,526.702,s,4.1839999999999975,0.0,False,Tools,133.768,True
184,1,8,9,XPCBJJ+CMR10,9.963,169.275,516.739,173.17700000000002,526.702,r,4.183999999999969,0.0,False,for,161.249,True
195,1,8,9,XPCBJJ+CMR10,9.963,224.547,516.739,228.422,526.702,t,4.173999999999978,0.0,False,Lightweight,177.361,True
198,1,8,9,XPCBJJ+CMR10,9.963,246.987,516.739,253.49099999999999,526.702,F,4.184000000000026,0.0,False,PDF,232.59599999999998,True
201,1,8,9,XPCBJJ+CMR10,9.963,268.191,516.739,273.72700000000003,526.702,d,4.183999999999969,0.0,False,and,257.675,True
204,1,8,9,XPCBJJ+CMR10,9.963,292.163,516.739,297.699,526.702,S,4.173999999999978,0.0,False,XPS,277.911,True
210,1,8,9,XPCBJJ+CMR10,9.963,325.67,516.739,329.57199999999995,526.702,r,4.184000000000026,0.0,False,viewer,301.873,True
211,1,8,9,XPCBJJ+CMR10,9.963,333.756,516.739,341.228,526.702,A,4.183999999999969,0.0,False,A,333.756,True
217,1,8,9,XPCBJJ+CMR10,9.963,370.035,516.739,375.57,526.702,d,4.185000000000002,0.0,False,tabbed,345.412,True
220,1,8,9,XPCBJJ+CMR10,9.963,394.14599999999996,516.739,400.649,526.702,F,4.184000000000026,0.0,False,PDF,379.755,True
226,1,8,9,XPCBJJ+CMR10,9.963,428.63,516.739,432.532,526.702,r,4.185000000000002,0.0,False,viewer,404.833,True
231,1,8,9,XPCBJJ+CMR10,9.963,454.48400000000004,516.739,459.465,526.702,g,4.175000000000011,0.0,False,using,436.717,True
234,1,8,9,XPCBJJ+CMR10,9.963,473.04900000000004,516.739,477.477,526.702,e,-343.70899999999995,-11.955000000000041,False,the,463.64,True
241,1,8,10,XPCBJJ+CMR10,9.963,162.829,504.784,166.731,514.747,r,3.318000000000012,0.0,False,poppler,133.768,True
249,1,8,10,XPCBJJ+CMR10,9.963,198.33700000000002,504.784,201.104,514.747,.,-67.33600000000001,-28.274,False,library.,170.049,True
252,1,9,11,SXMFFW+CMBX12,11.967,144.22899999999998,476.51,150.954,488.477,2,13.448999999999984,0.0,False,2.2,133.768,True
254,1,9,11,SXMFFW+CMBX12,11.967,174.919,476.51,181.644,488.477,3,-47.876000000000005,-18.00400000000002,False,H3,164.403,True
265,1,10,12,XPCBJJ+CMR10,9.963,177.495,458.506,181.36900000000003,468.469,t,2.4909999999999854,0.0,False,lightweight,133.768,True
268,1,10,12,XPCBJJ+CMR10,9.963,198.25099999999998,458.506,204.755,468.469,F,2.490000000000009,0.0,False,PDF,183.86,True
276,1,10,12,XPCBJJ+CMR10,9.963,245.989,458.506,249.863,468.469,t,2.491000000000014,0.0,False,document,207.245,True
282,1,10,12,XPCBJJ+CMR10,9.963,276.15,458.506,280.053,468.469,r,2.490000000000009,0.0,False,viewer,252.354,True
289,1,10,12,XPCBJJ+CMR10,9.963,309.85900000000004,458.506,315.117,468.469,y,2.4909999999999854,0.0,False,Library,282.543,True
292,1,10,12,XPCBJJ+CMR10,9.963,325.634,458.506,329.536,468.469,r,2.4909999999999854,0.0,False,for,317.608,True
303,1,10,12,XPCBJJ+CMR10,9.963,379.213,458.506,383.087,468.469,t,2.4910000000000423,0.0,False,Lightweight,332.027,True
306,1,10,12,XPCBJJ+CMR10,9.963,399.969,458.506,406.472,468.469,F,2.4910000000000423,0.0,False,PDF,385.57800000000003,True
309,1,10,12,XPCBJJ+CMR10,9.963,419.47900000000004,458.506,425.015,468.469,d,2.490000000000009,0.0,False,and,408.963,True
312,1,10,12,XPCBJJ+CMR10,9.963,441.75800000000004,458.506,447.293,468.469,S,2.4809999999999945,0.0,False,XPS,427.505,True
318,1,10,12,XPCBJJ+CMR10,9.963,473.58,458.506,477.483,468.469,r,-343.71500000000003,-28.274,False,viewer,449.774,True
321,1,11,13,SXMFFW+CMBX12,11.967,144.22899999999998,430.23199999999997,150.954,442.199,3,13.448999999999984,0.0,False,2.3,133.768,True
323,1,11,13,SXMFFW+CMBX12,11.967,174.919,430.23199999999997,181.644,442.199,3,-47.876000000000005,-18.00299999999993,False,H3,164.403,True
328,1,12,14,XPCBJJ+CMR10,9.963,151.203,412.22900000000004,156.184,422.19199999999995,o,2.4809999999999945,0.0,False,Hello,133.768,True
333,1,12,14,XPCBJJ+CMR10,9.963,178.59,412.22900000000004,181.357,422.19199999999995,.,4.14500000000001,0.0,False,Qazi.,158.665,True
339,1,12,14,XPCBJJ+CMR10,9.963,211.24099999999999,412.22900000000004,214.00900000000001,422.19199999999995,l,2.4799999999999898,0.0,False,opengl,185.502,True
350,1,12,14,XPCBJJ+CMR10,9.963,259.133,412.22900000000004,264.66900000000004,422.19199999999995,d,2.4799999999999613,0.0,False,accelerated,216.489,True
353,1,12,14,XPCBJJ+CMR10,9.963,278.499,412.22900000000004,281.543,422.19199999999995,f,2.4809999999999945,0.0,False,pdf,267.149,True
359,1,12,14,XPCBJJ+CMR10,9.963,307.82099999999997,412.22900000000004,311.723,422.19199999999995,r,2.4809999999999945,0.0,False,viewer,284.024,True
364,1,12,14,XPCBJJ+CMR10,9.963,333.077,412.22900000000004,338.61199999999997,422.19199999999995,d,2.4810000000000514,0.0,False,based,314.204,True
366,1,12,14,XPCBJJ+CMR10,9.963,346.074,412.22900000000004,351.60900000000004,422.19199999999995,n,2.4809999999999377,0.0,False,on,341.093,True
371,1,12,14,XPCBJJ+CMR10,9.963,378.99699999999996,412.22900000000004,382.042,422.19199999999995,f,2.4710000000000605,0.0,False,mupdf,354.09,True
382,1,12,14,XPCBJJ+CMR10,9.963,431.699,412.22900000000004,435.57300000000004,422.19199999999995,t,2.4809999999999945,0.0,False,Lightweight,384.51300000000003,True
385,1,12,14,XPCBJJ+CMR10,9.963,452.445,412.22900000000004,458.94800000000004,422.19199999999995,F,2.4809999999999945,0.0,False,PDF,438.05400000000003,True
388,1,12,14,XPCBJJ+CMR10,9.963,471.945,412.22900000000004,477.481,422.19199999999995,d,-343.71299999999997,-11.956000000000017,False,and,461.42900000000003,True
391,1,12,15,XPCBJJ+CMR10,9.963,148.02,400.273,153.556,410.236,S,2.987999999999971,0.0,False,XPS,133.768,True
397,1,12,15,XPCBJJ+CMR10,9.963,180.34099999999998,400.273,184.24400000000003,410.236,r,2.987999999999971,0.0,False,viewer,156.54399999999998,True
408,1,12,15,XPCBJJ+CMR10,9.963,234.418,400.273,238.293,410.236,t,2.987999999999971,0.0,False,Lightweight,187.232,True
411,1,12,15,XPCBJJ+CMR10,9.963,255.672,400.273,262.176,410.236,F,2.9990000000000236,0.0,False,PDF,241.28099999999998,True
414,1,12,15,XPCBJJ+CMR10,9.963,275.681,400.273,281.216,410.236,d,2.998999999999967,0.0,False,and,265.175,True
