,page,txtbox,textline,font,szie,x1,y1,x2,y2,char
57,1,2,3,WMHEFG+CMR10,9.963,439.23,683.3710000000001,444.76599999999996,693.334,b
58,1,2,3,WMHEFG+CMR10,9.963,444.76599999999996,683.3710000000001,448.695,693.334,s
59,1,2,3,WMHEFG+CMR10,9.963,448.695,683.3710000000001,453.12199999999996,693.334,e
60,1,2,3,WMHEFG+CMR10,9.963,453.12199999999996,683.3710000000001,457.55,693.334,c
61,1,2,3,WMHEFG+CMR10,9.963,457.55,683.3710000000001,461.42400000000004,693.334,t
62,1,2,3,WMHEFG+CMR10,9.963,461.42400000000004,683.3710000000001,464.19199999999995,693.334,i
63,1,2,3,WMHEFG+CMR10,9.963,464.19199999999995,683.3710000000001,469.173,693.334,o
64,1,2,3,WMHEFG+CMR10,9.963,469.173,683.3710000000001,474.708,693.334,n
65,1,2,3,WMHEFG+CMR10,9.963,474.708,683.3710000000001,477.476,693.334,.
66,1,2,4,WMHEFG+CMR10,9.963,133.768,671.416,142.07,681.3789999999999,m
67,1,2,4,WMHEFG+CMR10,9.963,142.07,671.416,147.05100000000002,681.3789999999999,o
68,1,2,4,WMHEFG+CMR10,9.963,147.05100000000002,671.416,150.98,681.3789999999999,s
69,1,2,4,WMHEFG+CMR10,9.963,150.98,671.416,154.855,681.3789999999999,t
70,1,2,4,WMHEFG+CMR10,9.963,157.874,671.416,162.855,681.3789999999999,o
71,1,2,4,WMHEFG+CMR10,9.963,162.855,671.416,165.899,681.3789999999999,f
72,1,2,4,WMHEFG+CMR10,9.963,168.918,671.416,172.793,681.3789999999999,t
73,1,2,4,WMHEFG+CMR10,9.963,172.793,671.416,178.328,681.3789999999999,h
74,1,2,4,WMHEFG+CMR10,9.963,178.328,671.416,182.755,681.3789999999999,e
75,1,2,4,WMHEFG+CMR10,9.963,185.774,671.416,191.30900000000003,681.3789999999999,d
76,1,2,4,WMHEFG+CMR10,9.963,191.30900000000003,671.416,196.29,681.3789999999999,o
77,1,2,4,WMHEFG+CMR10,9.963,196.55900000000003,671.416,200.987,681.3789999999999,c
78,1,2,4,WMHEFG+CMR10,9.963,200.987,671.416,206.52200000000002,681.3789999999999,u
79,1,2,4,WMHEFG+CMR10,9.963,206.52200000000002,671.416,214.824,681.3789999999999,m
80,1,2,4,WMHEFG+CMR10,9.963,214.824,671.416,219.25099999999998,681.3789999999999,e
81,1,2,4,WMHEFG+CMR10,9.963,219.25099999999998,671.416,224.78599999999997,681.3789999999999,n
82,1,2,4,WMHEFG+CMR10,9.963,224.517,671.416,228.392,681.3789999999999,t
83,1,2,4,WMHEFG+CMR10,9.963,231.4,671.416,238.595,681.3789999999999,w
84,1,2,4,WMHEFG+CMR10,9.963,238.595,671.416,241.363,681.3789999999999,i
85,1,2,4,WMHEFG+CMR10,9.963,241.363,671.416,244.13099999999997,681.3789999999999,l
86,1,2,4,WMHEFG+CMR10,9.963,244.13099999999997,671.416,246.898,681.3789999999999,l
87,1,2,4,WMHEFG+CMR10,9.963,249.917,671.416,255.452,681.3789999999999,h
88,1,2,4,WMHEFG+CMR10,9.963,255.452,671.416,260.433,681.3789999999999,a
89,1,2,4,WMHEFG+CMR10,9.963,260.155,671.416,265.413,681.3789999999999,v
90,1,2,4,WMHEFG+CMR10,9.963,265.144,671.416,269.57099999999997,681.3789999999999,e
91,1,2,4,WMHEFG+CMR10,9.963,272.59,671.416,278.125,681.3789999999999,n
92,1,2,4,WMHEFG+CMR10,9.963,278.125,671.416,283.106,681.3789999999999,o
93,1,2,4,WMHEFG+CMR10,9.963,283.106,671.416,287.009,681.3789999999999,r
94,1,2,4,WMHEFG+CMR10,9.963,286.999,671.416,295.301,681.3789999999999,m
95,1,2,4,WMHEFG+CMR10,9.963,295.311,671.416,300.29200000000003,681.3789999999999,a
96,1,2,4,WMHEFG+CMR10,9.963,300.29200000000003,671.416,303.059,681.3789999999999,l
97,1,2,4,WMHEFG+CMR10,9.963,306.068,671.416,309.943,681.3789999999999,t
98,1,2,4,WMHEFG+CMR10,9.963,309.943,671.416,314.37,681.3789999999999,e
99,1,2,4,WMHEFG+CMR10,9.963,314.37,671.416,319.628,681.3789999999999,x
100,1,2,4,WMHEFG+CMR10,9.963,319.628,671.416,323.503,681.3789999999999,t
101,1,2,4,WMHEFG+CMR10,9.963,323.503,671.416,326.27,681.3789999999999,.
102,1,2,4,WMHEFG+CMR10,9.963,330.60400000000004,671.416,337.79900000000004,681.3789999999999,T
103,1,2,4,WMHEFG+CMR10,9.963,337.79900000000004,671.416,343.334,681.3789999999999,h
104,1,2,4,WMHEFG+CMR10,9.963,343.334,671.416,346.102,681.3789999999999,i
105,1,2,4,WMHEFG+CMR10,9.963,346.102,671.416,350.031,681.3789999999999,s
106,1,2,4,WMHEFG+CMR10,9.963,353.04,671.416,356.969,681.3789999999999,s
107,1,2,4,WMHEFG+CMR10,9.963,356.97900000000004,671.416,361.406,681.3789999999999,e
108,1,2,4,WMHEFG+CMR10,9.963,361.406,671.416,365.834,681.3789999999999,c
109,1,2,4,WMHEFG+CMR10,9.963,365.834,671.416,369.708,681.3789999999999,t
110,1,2,4,WMHEFG+CMR10,9.963,369.708,671.416,372.476,681.3789999999999,i
111,1,2,4,WMHEFG+CMR10,9.963,372.476,671.416,377.457,681.3789999999999,o
112,1,2,4,WMHEFG+CMR10,9.963,377.457,671.416,382.99199999999996,681.3789999999999,n
113,1,2,4,WMHEFG+CMR10,9.963,386.001,671.416,388.769,681.3789999999999,i
114,1,2,4,WMHEFG+CMR10,9.963,388.769,671.416,392.69800000000004,681.3789999999999,s
115,1,2,4,WMHEFG+CMR10,9.963,395.717,671.416,401.25199999999995,681.3789999999999,h
116,1,2,4,WMHEFG+CMR10,9.963,401.25199999999995,671.416,405.67900000000003,681.3789999999999,e
117,1,2,4,WMHEFG+CMR10,9.963,405.67900000000003,671.416,410.661,681.3789999999999,a
118,1,2,4,WMHEFG+CMR10,9.963,410.661,671.416,416.19599999999997,681.3789999999999,d
119,1,2,4,WMHEFG+CMR10,9.963,416.19599999999997,671.416,418.963,681.3789999999999,i
120,1,2,4,WMHEFG+CMR10,9.963,418.963,671.416,424.499,681.3789999999999,n
121,1,2,4,WMHEFG+CMR10,9.963,424.499,671.416,429.48,681.3789999999999,g
122,1,2,4,WMHEFG+CMR10,9.963,432.499,671.416,435.26599999999996,681.3789999999999,l
123,1,2,4,WMHEFG+CMR10,9.963,435.26599999999996,671.416,439.694,681.3789999999999,e
124,1,2,4,WMHEFG+CMR10,9.963,439.694,671.416,444.952,681.3789999999999,v
125,1,2,4,WMHEFG+CMR10,9.963,444.673,671.416,449.1,681.3789999999999,e
126,1,2,4,WMHEFG+CMR10,9.963,449.1,671.416,451.86800000000005,681.3789999999999,l
127,1,2,4,WMHEFG+CMR10,9.963,454.88699999999994,671.416,459.86800000000005,681.3789999999999,2
128,1,2,4,WMHEFG+CMR10,9.963,459.86800000000005,671.416,462.635,681.3789999999999,.
129,1,2,4,WMHEFG+CMR10,9.963,466.959,671.416,472.494,681.3789999999999,S
130,1,2,4,WMHEFG+CMR10,9.963,472.494,671.416,477.476,681.3789999999999,o
131,1,2,5,WMHEFG+CMR10,9.963,133.768,659.461,137.642,669.424,t
132,1,2,5,WMHEFG+CMR10,9.963,137.642,659.461,143.178,669.424,h
133,1,2,5,WMHEFG+CMR10,9.963,143.178,659.461,145.945,669.424,i
134,1,2,5,WMHEFG+CMR10,9.963,145.945,659.461,149.875,669.424,s
135,1,2,5,WMHEFG+CMR10,9.963,153.192,659.461,155.96,669.424,i
136,1,2,5,WMHEFG+CMR10,9.963,155.96,659.461,159.889,669.424,s
137,1,2,5,WMHEFG+CMR10,9.963,163.216,659.461,167.146,669.424,s
138,1,2,5,WMHEFG+CMR10,9.963,167.146,659.461,172.127,669.424,o
139,1,2,5,WMHEFG+CMR10,9.963,172.127,659.461,180.429,669.424,m
