size,Unnamed: 0,y1,y2,x1,x2,xspace,yspace,count
9.963,145599,252690.83399999846,257851.66800000088,147791.42200000017,150297.26100000017,-2505.8389999999986,-400.81899999999996,518
11.967,4485,13527.005000000001,13826.180000000006,3789.0599999999986,3961.194999999999,-172.13500000000013,-141.37000000000012,25
14.361,342,3864.9900000000007,3951.1499999999996,924.682,982.2,-57.51799999999999,-24.830999999999904,6
