,Unnamed: 0,page,txtbox,textline,font,szie,y1,x2,y2,xspace,yspace,words,wx1,linebreak,udw,udrm,tablecandidate
45,191,1,3,6,WMHEFG+CMR10,9.963,613.183,297.699,623.146,4.173999999999978,0.0,XPS,277.911,0,0,0,0
46,197,1,3,6,WMHEFG+CMR10,9.963,613.183,329.57199999999995,623.146,4.184000000000026,0.0,viewer,301.873,0,0,0,0
47,198,1,3,6,WMHEFG+CMR10,9.963,613.183,341.228,623.146,4.183999999999969,0.0,A,333.756,0,0,0,0
48,204,1,3,6,WMHEFG+CMR10,9.963,613.183,375.57,623.146,4.185000000000001,0.0,tabbed,345.412,0,0,0,0
49,207,1,3,6,WMHEFG+CMR10,9.963,613.183,400.649,623.146,4.184000000000026,0.0,PDF,379.755,0,0,0,0
50,213,1,3,6,WMHEFG+CMR10,9.963,613.183,432.532,623.146,4.185000000000001,0.0,viewer,404.833,0,0,0,0
51,218,1,3,6,WMHEFG+CMR10,9.963,613.183,459.465,623.146,4.175000000000011,0.0,using,436.717,0,0,0,0
52,221,1,3,6,WMHEFG+CMR10,9.963,613.183,477.477,623.146,-343.70899999999995,-11.954999999999929,the,463.64,1,0,0,0
53,228,1,3,7,WMHEFG+CMR10,9.963,601.2280000000002,166.731,611.191,2.531000000000006,0.0,poppler,133.768,0,0,0,0
54,236,1,3,7,WMHEFG+CMR10,9.963,601.2280000000002,200.317,611.191,4.164999999999992,0.0,library.,169.262,0,0,0,0
55,247,1,3,7,WMHEFG+CMR10,9.963,601.2280000000002,252.073,611.191,2.5400000000000205,0.0,lightweight,204.482,0,0,0,0
56,250,1,3,7,WMHEFG+CMR10,9.963,601.2280000000002,275.508,611.191,2.5300000000000296,0.0,PDF,254.613,0,0,0,0
57,258,1,3,7,WMHEFG+CMR10,9.963,601.2280000000002,320.656,611.191,2.531000000000006,0.0,document,278.038,0,0,0,0
58,264,1,3,7,WMHEFG+CMR10,9.963,601.2280000000002,350.896,611.191,2.5300000000000296,0.0,viewer,323.187,0,0,0,0
59,271,1,3,7,WMHEFG+CMR10,9.963,601.2280000000002,386.0,611.191,2.531000000000006,0.0,Library,353.426,0,0,0,0
60,274,1,3,7,WMHEFG+CMR10,9.963,601.2280000000002,400.459,611.191,2.5300000000000296,0.0,for,388.531,0,0,0,0
61,285,1,3,7,WMHEFG+CMR10,9.963,601.2280000000002,454.05,611.191,2.539999999999964,0.0,Lightweight,402.989,0,0,0,0
62,288,1,3,7,WMHEFG+CMR10,9.963,601.2280000000002,477.485,611.191,-343.717,-11.955000000000037,PDF,456.59,1,0,0,0
63,291,1,3,8,WMHEFG+CMR10,9.963,589.273,149.82,599.236,3.3170000000000077,0.0,and,133.768,0,0,0,0
64,294,1,3,8,WMHEFG+CMR10,9.963,589.273,172.925,599.236,3.3279999999999745,0.0,XPS,153.137,0,0,0,0
65,300,1,3,8,WMHEFG+CMR10,9.963,589.273,203.952,599.236,15.63300000000001,-19.726,viewer,176.253,1,1,0,1
66,306,1,4,9,WMHEFG+CMR10,9.963,569.547,250.055,579.51,22.899999999999977,0.0,normal,219.585,0,1,1,2
67,312,1,5,10,WMHEFG+CMR10,9.963,569.547,299.797,579.51,3.317999999999984,0.0,mutlti,272.955,0,0,0,0
68,316,1,5,10,WMHEFG+CMR10,9.963,569.547,324.46,579.51,11.951000000000024,0.0,word,303.115,0,1,0,1
69,319,1,8,15,WMHEFG+CMR10,9.963,569.547,352.463,579.51,3.3169999999999504,0.0,and,336.411,0,0,0,0
70,324,1,8,15,WMHEFG+CMR10,9.963,569.547,377.947,579.51,3.328000000000032,0.0,there,355.78,0,0,0,0
71,328,1,8,15,WMHEFG+CMR10,9.963,569.547,402.609,579.51,-193.96900000000005,-12.354000000000044,word,381.275,1,0,0,0
72,335,1,6,11,WMHEFG+CMR10,9.963,557.193,241.877,567.156,3.317999999999984,0.0,another,208.64,0,0,1,1
73,338,1,6,11,WMHEFG+CMR10,9.963,557.193,260.994,567.156,31.193999999999964,0.0,row,245.195,0,1,0,1
74,341,1,7,13,WMHEFG+CMR10,9.963,557.193,305.223,567.156,32.43399999999997,0.0,try,292.188,0,1,0,1
75,351,1,8,16,WMHEFG+CMR10,9.963,557.193,381.935,567.156,3.3169999999999504,0.0,dectecting,337.657,0,0,0,0
76,355,1,8,16,WMHEFG+CMR10,9.963,557.193,401.359,567.156,-192.30400000000003,-12.353999999999928,this,385.252,1,0,0,0
77,356,1,6,12,WMHEFG+CMR10,9.963,544.839,216.527,554.802,3.3170000000000077,0.0,A,209.055,0,0,1,1
78,361,1,6,12,WMHEFG+CMR10,9.963,544.839,241.459,554.802,3.328000000000003,0.0,third,219.844,0,0,0,0
79,364,1,6,12,WMHEFG+CMR10,9.963,544.839,260.587,554.802,34.382000000000005,0.0,row,244.787,0,1,0,1
80,365,1,7,14,WMHEFG+CMR10,9.963,544.839,302.441,554.802,51.43300000000005,0.0,A,294.969,0,1,0,1
81,371,1,9,17,WMHEFG+CMR10,9.963,544.839,385.147,554.802,-251.37900000000002,-21.862000000000076,beyond,353.874,1,0,0,0
82,375,1,10,18,WMHEFG+CMR10,9.963,522.977,157.014,532.94,3.3170000000000077,0.0,Some,133.768,0,0,0,0
83,381,1,10,18,WMHEFG+CMR10,9.963,522.977,190.801,532.94,3.326999999999998,0.0,normal,160.33100000000005,0,0,0,0
84,385,1,10,18,WMHEFG+CMR10,9.963,522.977,211.563,532.94,3.317999999999984,0.0,text,194.128,0,0,0,0
85,394,1,10,18,WMHEFG+CMR10,9.963,522.977,253.623,532.94,3.317999999999984,0.0,following,214.881,0,0,0,0
86,400,1,10,18,WMHEFG+CMR10,9.963,522.977,281.29400000000004,532.94,21.83899999999995,-385.655,table.,256.941,1,1,0,1
87,401,1,11,19,WMHEFG+CMR10,9.963,137.322,308.1140000000001,147.285,-174.34600000000003,567.02,1,303.133,0,0,1,1
