,page,txtbox,textline,font,szie,y1,x2,y2,xspace,yspace,words,wx1
228,1,3,7,WMHEFG+CMR10,9.963,601.2280000000001,166.731,611.191,2.531000000000006,0.0,poppler,133.768
236,1,3,7,WMHEFG+CMR10,9.963,601.2280000000001,200.317,611.191,4.164999999999992,0.0,library.,169.262
247,1,3,7,WMHEFG+CMR10,9.963,601.2280000000001,252.07299999999998,611.191,2.5400000000000205,0.0,lightweight,204.482
250,1,3,7,WMHEFG+CMR10,9.963,601.2280000000001,275.508,611.191,2.5300000000000296,0.0,PDF,254.613
258,1,3,7,WMHEFG+CMR10,9.963,601.2280000000001,320.656,611.191,2.531000000000006,0.0,document,278.038
264,1,3,7,WMHEFG+CMR10,9.963,601.2280000000001,350.89599999999996,611.191,2.5300000000000296,0.0,viewer,323.187
271,1,3,7,WMHEFG+CMR10,9.963,601.2280000000001,386.0,611.191,2.531000000000006,0.0,Library,353.426
274,1,3,7,WMHEFG+CMR10,9.963,601.2280000000001,400.459,611.191,2.5300000000000296,0.0,for,388.531
285,1,3,7,WMHEFG+CMR10,9.963,601.2280000000001,454.05,611.191,2.5399999999999636,0.0,Lightweight,402.98900000000003
288,1,3,7,WMHEFG+CMR10,9.963,601.2280000000001,477.485,611.191,-343.717,-11.955000000000041,PDF,456.59
291,1,3,8,WMHEFG+CMR10,9.963,589.273,149.82,599.236,3.3170000000000073,0.0,and,133.768
294,1,3,8,WMHEFG+CMR10,9.963,589.273,172.925,599.236,3.3279999999999745,0.0,XPS,153.137
300,1,3,8,WMHEFG+CMR10,9.963,589.273,203.952,599.236,15.63300000000001,-19.726,viewer,176.253
306,1,4,9,WMHEFG+CMR10,9.963,569.547,250.055,579.51,22.899999999999977,0.0,normal,219.585
312,1,5,10,WMHEFG+CMR10,9.963,569.547,299.797,579.51,3.3179999999999836,0.0,mutlti,272.955
316,1,5,10,WMHEFG+CMR10,9.963,569.547,324.46,579.51,11.951000000000022,0.0,word,303.115
342,1,8,15,WMHEFG+CMR10,9.963,569.547,352.463,579.51,3.3169999999999504,0.0,d,346.92800000000005
347,1,8,15,WMHEFG+CMR10,9.963,569.547,377.94699999999995,579.51,3.3280000000000314,0.0,e,373.52
351,1,8,15,WMHEFG+CMR10,9.963,569.547,402.60900000000004,579.51,-193.96900000000005,-12.354000000000042,dectecting,346.92800000000005
323,1,6,11,WMHEFG+CMR10,9.963,557.193,241.877,567.156,3.3179999999999836,0.0,r,237.975
326,1,6,11,WMHEFG+CMR10,9.963,557.193,260.994,567.156,31.19399999999996,0.0,w,253.799
338,1,7,13,WMHEFG+CMR10,9.963,557.193,305.223,567.156,32.43399999999997,0.0,row,292.188
