page,txtbox,textline,font,szie,x1,y1,x2,y2,char
1,2,4,WMHEFG+CMR10,9.963,178.328,671.416,182.755,681.379,e
1,2,4,WMHEFG+CMR10,9.963,185.774,671.416,191.309,681.379,d
1,2,4,WMHEFG+CMR10,9.963,191.309,671.416,196.290,681.379,o
1,2,4,WMHEFG+CMR10,9.963,196.559,671.416,200.987,681.379,c
1,2,4,WMHEFG+CMR10,9.963,200.987,671.416,206.522,681.379,u
1,2,4,WMHEFG+CMR10,9.963,206.522,671.416,214.824,681.379,m
1,2,4,WMHEFG+CMR10,9.963,214.824,671.416,219.251,681.379,e
1,2,4,WMHEFG+CMR10,9.963,219.251,671.416,224.786,681.379,n
1,2,4,WMHEFG+CMR10,9.963,224.517,671.416,228.392,681.379,t
1,2,4,WMHEFG+CMR10,9.963,231.400,671.416,238.595,681.379,w
1,2,4,WMHEFG+CMR10,9.963,238.595,671.416,241.363,681.379,i
1,2,4,WMHEFG+CMR10,9.963,241.363,671.416,244.131,681.379,l
1,2,4,WMHEFG+CMR10,9.963,244.131,671.416,246.898,681.379,l
1,2,4,WMHEFG+CMR10,9.963,249.917,671.416,255.452,681.379,h
1,2,4,WMHEFG+CMR10,9.963,255.452,671.416,260.433,681.379,a
1,2,4,WMHEFG+CMR10,9.963,260.155,671.416,265.413,681.379,v
1,2,4,WMHEFG+CMR10,9.963,265.144,671.416,269.571,681.379,e
1,2,4,WMHEFG+CMR10,9.963,272.590,671.416,278.125,681.379,n
1,2,4,WMHEFG+CMR10,9.963,278.125,671.416,283.106,681.379,o
1,2,4,WMHEFG+CMR10,9.963,283.106,671.416,287.009,681.379,r
1,2,4,WMHEFG+CMR10,9.963,286.999,671.416,295.301,681.379,m
1,2,4,WMHEFG+CMR10,9.963,295.311,671.416,300.292,681.379,a
1,2,4,WMHEFG+CMR10,9.963,300.292,671.416,303.059,681.379,l
1,2,4,WMHEFG+CMR10,9.963,306.068,671.416,309.943,681.379,t
1,2,4,WMHEFG+CMR10,9.963,309.943,671.416,314.370,681.379,e
1,2,4,WMHEFG+CMR10,9.963,314.370,671.416,319.628,681.379,x
1,2,4,WMHEFG+CMR10,9.963,319.628,671.416,323.503,681.379,t
1,2,4,WMHEFG+CMR10,9.963,323.503,671.416,326.270,681.379,.
1,2,4,WMHEFG+CMR10,9.963,330.604,671.416,337.799,681.379,T
1,2,4,WMHEFG+CMR10,9.963,337.799,671.416,343.334,681.379,h
1,2,4,WMHEFG+CMR10,9.963,343.334,671.416,346.102,681.379,i
1,2,4,WMHEFG+CMR10,9.963,346.102,671.416,350.031,681.379,s
1,2,4,WMHEFG+CMR10,9.963,353.040,671.416,356.969,681.379,s
1,2,4,WMHEFG+CMR10,9.963,356.979,671.416,361.406,681.379,e
1,2,4,WMHEFG+CMR10,9.963,361.406,671.416,365.834,681.379,c
1,2,4,WMHEFG+CMR10,9.963,365.834,671.416,369.708,681.379,t
1,2,4,WMHEFG+CMR10,9.963,369.708,671.416,372.476,681.379,i
1,2,4,WMHEFG+CMR10,9.963,372.476,671.416,377.457,681.379,o
1,2,4,WMHEFG+CMR10,9.963,377.457,671.416,382.992,681.379,n
1,2,4,WMHEFG+CMR10,9.963,386.001,671.416,388.769,681.379,i
1,2,4,WMHEFG+CMR10,9.963,388.769,671.416,392.698,681.379,s
1,2,4,WMHEFG+CMR10,9.963,395.717,671.416,401.252,681.379,h
1,2,4,WMHEFG+CMR10,9.963,401.252,671.416,405.679,681.379,e
1,2,4,WMHEFG+CMR10,9.963,405.679,671.416,410.661,681.379,a
1,2,4,WMHEFG+CMR10,9.963,410.661,671.416,416.196,681.379,d
1,2,4,WMHEFG+CMR10,9.963,416.196,671.416,418.963,681.379,i
1,2,4,WMHEFG+CMR10,9.963,418.963,671.416,424.499,681.379,n
1,2,4,WMHEFG+CMR10,9.963,424.499,671.416,429.480,681.379,g
1,2,4,WMHEFG+CMR10,9.963,432.499,671.416,435.266,681.379,l
1,2,4,WMHEFG+CMR10,9.963,435.266,671.416,439.694,681.379,e
1,2,4,WMHEFG+CMR10,9.963,439.694,671.416,444.952,681.379,v
1,2,4,WMHEFG+CMR10,9.963,444.673,671.416,449.100,681.379,e
1,2,4,WMHEFG+CMR10,9.963,449.100,671.416,451.868,681.379,l
1,2,4,WMHEFG+CMR10,9.963,454.887,671.416,459.868,681.379,2
1,2,4,WMHEFG+CMR10,9.963,459.868,671.416,462.635,681.379,.
1,2,4,WMHEFG+CMR10,9.963,466.959,671.416,472.494,681.379,S
1,2,4,WMHEFG+CMR10,9.963,472.494,671.416,477.476,681.379,o
1,2,5,WMHEFG+CMR10,9.963,133.768,659.461,137.642,669.424,t
1,2,5,WMHEFG+CMR10,9.963,137.642,659.461,143.178,669.424,h
1,2,5,WMHEFG+CMR10,9.963,143.178,659.461,145.945,669.424,i
1,2,5,WMHEFG+CMR10,9.963,145.945,659.461,149.875,669.424,s
1,2,5,WMHEFG+CMR10,9.963,153.192,659.461,155.960,669.424,i
1,2,5,WMHEFG+CMR10,9.963,155.960,659.461,159.889,669.424,s
1,2,5,WMHEFG+CMR10,9.963,163.216,659.461,167.146,669.424,s
1,2,5,WMHEFG+CMR10,9.963,167.146,659.461,172.127,669.424,o
1,2,5,WMHEFG+CMR10,9.963,172.127,659.461,180.429,669.424,m
1,2,5,WMHEFG+CMR10,9.963,180.429,659.461,184.856,669.424,e
1,2,5,WMHEFG+CMR10,9.963,188.174,659.461,192.048,669.424,t
1,2,5,WMHEFG+CMR10,9.963,192.048,659.461,196.476,669.424,e
1,2,5,WMHEFG+CMR10,9.963,196.476,659.461,201.734,669.424,x
